"ApplicationDate";"ApplicationYear"
"2015-09";2015
"2015-07";2015
"2017-09";2017
"2018-09";2018
"2015-12";2015
"2016-03";2016
"2018-06";2018
"2017-04";2017
"2016-06";2016
"2017-02";2017
"2018-05";2018
"2018-01";2018
"2015-02";2015
"2015-12";2015
"2018-01";2018
"2017-01";2017
"2016-02";2016
"2015-01";2015
"2017-11";2017
"2017-10";2017
"2016-08";2016
"2018-08";2018
"2017-12";2017
"2015-12";2015
"2015-12";2015
"2016-05";2016
"2016-02";2016
"2016-09";2016
"2016-09";2016
"2019-06";2019
"2017-12";2017
"2016-12";2016
"2015-05";2015
"2016-01";2016
"2015-12";2015
"2015-12";2015
"2018-04";2018
"2015-12";2015
"2015-12";2015
"2015-12";2015
"2019-04";2019
"2018-04";2018
"2015-09";2015
"2017-08";2017
"2018-12";2018
"2016-06";2016
"2019-08";2019
"2018-02";2018
"2015-12";2015
"2017-10";2017
"2015-10";2015
"2016-06";2016
"2017-04";2017
"2015-07";2015
"2015-12";2015
"2017-05";2017
"2015-12";2015
"2015-12";2015
"2017-06";2017
"2019-05";2019
"2015-11";2015
"2017-10";2017
"2015-09";2015
"2018-05";2018
"2016-02";2016
"2016-05";2016
"2018-01";2018
"2015-09";2015
"2015-05";2015
"2016-04";2016
"2018-04";2018
"2017-11";2017
"2017-04";2017
"2016-06";2016
"2016-06";2016
"2018-11";2018
"2017-12";2017
"2015-03";2015
"2015-03";2015
"2017-03";2017
"2016-06";2016
"2015-06";2015
"2016-09";2016
"2016-06";2016
"2015-02";2015
"2017-05";2017
"2016-10";2016
"2017-09";2017
"2017-09";2017
"2016-10";2016
"2017-09";2017
"2015-12";2015
"2016-12";2016
"2015-08";2015
"2017-04";2017
"2015-12";2015
"2016-06";2016
"2018-03";2018
"2019-02";2019
"2017-08";2017
"2016-07";2016
"2015-04";2015
"2016-08";2016
"2017-09";2017
"2016-02";2016
"2016-02";2016
"2016-02";2016
"2016-02";2016
"2016-03";2016
"2016-06";2016
"2016-06";2016
"2015-06";2015
"2016-06";2016
"2015-02";2015
"2017-08";2017
"2016-09";2016
"2017-02";2017
"2016-06";2016
"2016-06";2016
"2016-12";2016
"2016-09";2016
"2016-01";2016
"2017-06";2017
"2017-06";2017
"2017-06";2017
"2015-12";2015
"2015-12";2015
"2016-06";2016
"2016-11";2016
"2017-11";2017
"2018-09";2018
"2016-03";2016
"2016-03";2016
"2016-05";2016
"2015-11";2015
"2017-01";2017
"2019-03";2019
"2015-12";2015
"2019-04";2019
"2016-09";2016
"2017-03";2017
"2016-06";2016
"2016-02";2016
"2016-09";2016
"2016-06";2016
"2017-06";2017
"2016-06";2016
"2015-12";2015
"2015-08";2015
"2015-08";2015
"2016-05";2016
"2016-06";2016
"2018-01";2018
"2018-01";2018
"2015-12";2015
"2015-12";2015
"2015-04";2015
"2015-12";2015
"2015-05";2015
"2016-08";2016
"2017-01";2017
"2015-12";2015
"2015-08";2015
"2017-11";2017
"2015-11";2015
"2016-05";2016
"2015-02";2015
"2015-05";2015
"2019-09";2019
"2019-07";2019
"2017-06";2017
"2019-06";2019
"2018-07";2018
"2017-09";2017
"2017-12";2017
"2017-08";2017
"2015-11";2015
"2017-06";2017
"2016-06";2016
"2017-06";2017
"2017-06";2017
"2018-12";2018
"2015-12";2015
"2016-05";2016
"2017-05";2017
"2016-01";2016
"2015-06";2015
"2015-12";2015
"2017-03";2017
"2016-04";2016
"2018-04";2018
"2016-08";2016
"2016-03";2016
"2015-06";2015
"2017-05";2017
"2015-06";2015
"2017-12";2017
"2018-12";2018
"2019-05";2019
"2015-11";2015
"2016-08";2016
"2017-02";2017
"2017-01";2017
"2017-12";2017
"2015-04";2015
"2015-12";2015
"2015-08";2015
"2016-04";2016
"2016-08";2016
"2017-04";2017
"2016-06";2016
"2016-08";2016
"2017-03";2017
"2018-03";2018
"2018-03";2018
"2017-01";2017
"2017-10";2017
"2015-06";2015
"2016-06";2016
"2016-05";2016
"2016-01";2016
"2017-06";2017
"2017-06";2017
"2016-06";2016
"2017-06";2017
"2017-06";2017
"2015-12";2015
"2016-10";2016
"2016-10";2016
"2016-11";2016
"2015-12";2015
"2017-11";2017
"2018-12";2018
"2017-09";2017
"2015-03";2015
"2017-08";2017
"2016-07";2016
"2015-05";2015
"2017-12";2017
"2018-11";2018
"2015-08";2015
"2015-12";2015
"2017-05";2017
"2015-12";2015
"2017-02";2017
"2016-05";2016
"2015-06";2015
"2016-06";2016
"2016-08";2016
"2017-03";2017
"2016-08";2016
"2016-09";2016
"2015-02";2015
"2015-07";2015
"2016-02";2016
"2016-03";2016
"2016-10";2016
"2015-08";2015
"2016-10";2016
"2015-07";2015
"2017-08";2017
"2017-06";2017
"2016-08";2016
"2017-11";2017
"2017-12";2017
"2015-05";2015
"2017-02";2017
"2015-12";2015
"2015-12";2015
"2016-01";2016
"2016-01";2016
"2015-03";2015
"2015-03";2015
"2017-01";2017
"2017-01";2017
"2015-11";2015
"2015-11";2015
"2017-02";2017
"2017-02";2017
"2017-09";2017
"2016-03";2016
"2015-08";2015
"2019-08";2019
"2015-05";2015
"2016-07";2016
"2015-10";2015
"2015-12";2015
"2016-05";2016
"2017-05";2017
"2018-01";2018
"2017-01";2017
"2016-12";2016
"2015-01";2015
"2015-03";2015
"2015-12";2015
"2016-06";2016
"2017-07";2017
"2015-12";2015
"2015-01";2015
"2018-09";2018
"2019-08";2019
"2019-07";2019
"2015-02";2015
"2015-02";2015
"2015-02";2015
"2015-02";2015
"2016-03";2016
"2016-06";2016
"2015-11";2015
"2016-09";2016
"2016-11";2016
"2017-11";2017
"2017-11";2017
"2015-12";2015
"2015-03";2015
"2015-09";2015
"2015-12";2015
"2015-12";2015
"2015-12";2015
"2015-11";2015
"2018-04";2018
"2018-08";2018
"2016-10";2016
"2015-08";2015
"2015-12";2015
"2017-05";2017
"2016-03";2016
"2017-01";2017
"2015-12";2015
"2019-06";2019
"2015-12";2015
"2017-08";2017
"2017-06";2017
"2016-09";2016
"2015-07";2015
"2015-05";2015
"2017-11";2017
"2017-06";2017
"2017-11";2017
"2015-12";2015
"2016-03";2016
"2015-12";2015
"2015-11";2015
"2015-06";2015
"2017-07";2017
"2015-08";2015
"2015-08";2015
"2018-07";2018
"2016-02";2016
"2015-10";2015
"2015-09";2015
"2015-12";2015
"2018-04";2018
"2015-12";2015
"2016-03";2016
"2015-12";2015
"2017-12";2017
"2017-06";2017
"2015-01";2015
"2015-02";2015
"2016-10";2016
"2016-06";2016
"2016-02";2016
"2015-08";2015
"2016-10";2016
"2017-09";2017
"2017-06";2017
"2016-06";2016
"2016-10";2016
"2015-10";2015
"2017-02";2017
"2016-01";2016
"2016-11";2016
"2015-07";2015
"2015-07";2015
"2018-09";2018
"2016-06";2016
"2016-06";2016
"2016-04";2016
"2019-06";2019
"2015-12";2015
"2015-03";2015
"2015-12";2015
"2016-08";2016
"2016-08";2016
"2016-08";2016
"2015-11";2015
"2015-11";2015
"2015-11";2015
"2015-11";2015
"2015-06";2015
"2018-12";2018
"2017-09";2017
"2015-11";2015
"2017-05";2017
"2018-03";2018
"2016-10";2016
"2017-05";2017
"2016-06";2016
"2017-11";2017
"2015-12";2015
"2016-05";2016
"2015-12";2015
"2015-12";2015
"2015-12";2015
"2019-04";2019
"2018-03";2018
"2018-12";2018
"2018-12";2018
"2016-04";2016
"2017-12";2017
"2015-09";2015
"2017-09";2017
"2015-03";2015
"2015-12";2015
"2016-02";2016
"2017-11";2017
"2018-04";2018
"2015-12";2015
"2015-12";2015
"2015-12";2015
"2015-12";2015
"2017-10";2017
"2016-01";2016
"2015-03";2015
"2015-03";2015
"2015-12";2015
"2015-07";2015
"2015-05";2015
