City,Frequency,County
Austin,159,34
Sunnyvale,70,34
Portland,9,34
Saratoga,18,34
Camas,4,34
Hillsboro,5,34
Canby,4,34
Hillsboro,5,34
Beaverton,6,34
Portland,9,34
Sunnyvale,70,34
Portland,9,34
Saratoga,18,34
Camas,4,34
Hillsboro,5,34
Canby,4,34
Ashburn,3,34
Beaverton,6,34
Portland,9,34
Portland,9,34
Saratoga,18,34
Camas,4,34
Hillsboro,5,34
Canby,4,34
Ashburn,3,34
Beaverton,6,34
Portland,9,34
Winthrop,4,34
Newton,9,34
Cambridge,11,34
Somerville,4,34
Winthrop,4,34
Newton,9,34
Cambridge,11,34
Somerville,4,34
Hopkinton,4,34
Milton,8,34
Newton,9,34
Watertown,2,34
Milton,8,34
Cambridge,11,34
Hopkinton,4,34
Milton,8,34
Newton,9,34
Watertown,2,34
Milton,8,34
Cambridge,11,34
Winthrop,4,34
Newton,9,34
Cambridge,11,34
Somerville,4,34
Portland,9,34
Saratoga,18,34
Camas,4,34
Hillsboro,5,34
Canby,4,34
Ashburn,3,34
Beaverton,6,34
Portland,9,34
Winthrop,4,34
Newton,9,34
Cambridge,11,34
Somerville,4,34
Hopkinton,4,34
Milton,8,34
Newton,9,34
Cambridge,11,34
Milton,8,34
Cambridge,11,34
Austin,159,34
Fremont,66,34
Fremont,66,34
Sunnyvale,70,34
Boston,10,34
Boston,10,34
Campbell,39,34
Chalfont,4,34
Fremont,66,34
Fremont,66,34
Pleasanton,15,34
Sunnyvale,70,34
Milpitas,33,34
Milpitas,33,34
Hopkinton,4,34
Milton,8,34
Newton,9,34
Cambridge,11,34
Milton,8,34
Cambridge,11,34
Livermore,9,34
Cupertino,42,34
Livermore,9,34
Cupertino,42,34
Livermore,9,34
Cupertino,42,34
Livermore,9,34
Cupertino,42,34
Campbell,39,34
Austin,159,34
Austin,159,34
Pflugerville,22,34
Austin,159,34
Austin,159,34
Austin,159,34
Austin,159,34
Austin,159,34
Pflugerville,22,34
Austin,159,34
Sunnyvale,70,34
Austin,159,34
Austin,159,34
Georgetown,10,34
Austin,159,34
Austin,159,34
Austin,159,34
Austin,159,34
Georgetown,10,34
Austin,159,34
Austin,159,34
Austin,159,34
Austin,159,34
Campbell,39,34
Sunnyvale,70,34
Milpitas,33,34
Campbell,39,34
Sunnyvale,70,34
Milpitas,33,34
Austin,159,34
Elkhorn,3,34
Austin,159,34
Austin,159,34
Elkhorn,3,34
Austin,159,34
Scarsdale,1,34
Madison,1,34
Austin,159,34
Austin,159,34
Elkhorn,3,34
Austin,159,34
Stockholm,7,34
Stockholm,7,34
Campbell,39,34
Campbell,39,34
Jerusalem,4,34
Jerusalem,4,34
Fremont,66,34
Fremont,66,34
Fremont,66,34
Fremont,66,34
Fremont,66,34
Cupertino,42,34
Campbell,39,34
Brooklyn,1,34
Sunnyvale,70,34
Austin,159,34
Austin,159,34
Fremont,66,34
Chicago,18,34
Chicago,18,34
Chicago,18,34
Chicago,18,34
Chicago,18,34
Chicago,18,34
Chicago,18,34
Chicago,18,34
Jerusalem,4,34
Jerusalem,4,34
Phoenix,9,34
Scottsdale,19,34
Scottsdale,19,34
Campbell,39,34
Campbell,39,34
Campbell,39,34
Mountain,1,34
Campbell,39,34
Scottsdale,19,34
Milpitas,33,34
Georgetown,10,34
Scottsdale,19,34
Scottsdale,19,34
Phoenix,9,34
Fremont,66,34
Baltimore,4,34
Fremont,66,34
Sunnyvale,70,34
Campbell,39,34
Milpitas,33,34
Sunnyvale,70,34
Fremont,66,34
Timonium,5,34
Timonium,5,34
Pflugerville,22,34
Milpitas,33,34
Phoenix,9,34
Scottsdale,19,34
Phoenix,9,34
Fremont,66,34
Campbell,39,34
Fremont,66,34
Sunnyvale,70,34
Reno,2,34
Phoenix,9,34
Scottsdale,19,34
Milpitas,33,34
Milpitas,33,34
Phoenix,9,34
Scottsdale,19,34
Scottsdale,19,34
Fremont,66,34
Austin,159,34
Austin,159,34
Phoenix,9,34
Scottsdale,19,34
Scottsdale,19,34
Saratoga,18,34
Tigard,2,34
Austin,159,34
Austin,159,34
Austin,159,34
Campbell,39,34
Campbell,39,34
Milpitas,33,34
Milpitas,33,34
Dublin,12,34
Dublin,12,34
Austin,159,34
Cupertino,42,34
Cupertino,42,34
Austin,159,34
Austin,159,34
Cupertino,42,34
Austin,159,34
Milpitas,33,34
Sunnyvale,70,34
Sunnyvale,70,34
Fremont,66,34
Austin,159,34
Georgetown,10,34
Campbell,39,34
Stockholm,7,34
Pleasanton,15,34
Austin,159,34
Fremont,66,34
Fremont,66,34
Austin,159,34
Austin,159,34
Livermore,9,34
Cupertino,42,34
Munich,2,34
Munich,2,34
Austin,159,34
Stockholm,7,34
Austin,159,34
Sunnyvale,70,34
Oakland,15,34
Livermore,9,34
Sunnyvale,70,34
Oakland,15,34
Livermore,9,34
Cockeysville,5,34
Lucan,1,34
Fremont,66,34
Oakland,15,34
Chicago,18,34
Chicago,18,34
Fremont,66,34
Austin,159,34
Austin,159,34
Austin,159,34
Austin,159,34
Albany,3,34
Sunnyvale,70,34
Fremont,66,34
Oakland,15,34
Cockeysville,5,34
Timonium,5,34
Concord,1,34
Oakland,15,34
Newark,3,34
Fremont,66,34
Oakland,15,34
Sunnyvale,70,34
Milpitas,33,34
Maricopa,3,34
Williston,2,34
Newburgh,2,34
Cary,1,34
Newburgh,2,34
Endicott,1,34
Omaha,5,34
Williston,2,34
Pflugerville,22,34
Boston,10,34
Niwot,2,34
Newark,3,34
Boston,10,34
Niwot,2,34
Saratoga,18,34
Gilroy,1,34
Maricopa,3,34
Pflugerville,22,34
Austin,159,34
Cerritos,1,34
Sunnyvale,70,34
Milpitas,33,34
Cockeysville,5,34
Timonium,5,34
Milpitas,33,34
Austin,159,34
Austin,159,34
Milpitas,33,34
Cupertino,42,34
Fremont,66,34
Livermore,9,34
Cupertino,42,34
Sunnyvale,70,34
Austin,159,34
Austin,159,34
Chicago,18,34
Austin,159,34
Austin,159,34
Campbell,39,34
Sunnyvale,70,34
Atherton,4,34
Oakland,15,34
Maricopa,3,34
Cockeysville,5,34
Sunnyvale,70,34
Fremont,66,34
Berkeley,4,34
Burlingame,2,34
Sunnyvale,70,34
Fremont,66,34
Austin,159,34
Austin,159,34
Herndon,2,34
Bethesda,2,34
Carlisle,2,34
Arlington,2,34
Centreville,2,34
Herndon,2,34
Bethesda,2,34
Carlisle,2,34
Arlington,2,34
Centreville,2,34
Austin,159,34
Sunnyvale,70,34
Berlin,4,34
Danville,1,34
Sunnyvale,70,34
Austin,159,34
Campbell,39,34
Omaha,5,34
Fremont,66,34
Austin,159,34
Hayward,1,34
Oakland,15,34
Austin,159,34
Pflugerville,22,34
Rockville,8,34
Oakton,5,34
Sunnyvale,70,34
Newark,3,34
Austin,159,34
Fremont,66,34
Sunnyvale,70,34
Annapolis,1,34
Campbell,39,34
Sunnyvale,70,34
Amsterdam,3,34
Amsterdam,3,34
Amsterdam,3,34
Belmont,2,34
Berlin,4,34
Austin,159,34
Sunnyvale,70,34
Fremont,66,34
Pflugerville,22,34
Coppell,1,34
Austin,159,34
Pleasanton,15,34
Belmont,2,34
Pflugerville,22,34
Fremont,66,34
Omaha,5,34
Milpitas,33,34
Moraga,2,34
Moraga,2,34
Ridgefield,1,34
Shelton,1,34
Monroe,1,34
Stamford,1,34
Orinda,1,34
Pittsburgh,1,34
Chalfont,4,34
Pflugerville,22,34
Austin,159,34
Sunnyvale,70,34
Rockville,8,34
Rockville,8,34
Rockville,8,34
Brisbane,2,34
Brisbane,2,34
Sunnyvale,70,34
Sunnyvale,70,34
Pflugerville,22,34
Sunnyvale,70,34
Lincoln,2,34
Austin,159,34
Sunnyvale,70,34
Campbell,39,34
Fremont,66,34
Lincoln,2,34
Austin,159,34
Milpitas,33,34
Winnetka,3,34
Berkeley,4,34
