"Publication Number";"Publication Year";"Earliest Priority Year";"Application Year";"DWPI Class";"Assignee/Applicant First";"Inventor - w/address";"Inventor - DWPI";"Inventor Count";"Publication Country Code";"Publication Kind Code";"Publication Date";"Estimated Remaining Life";"Dead/Alive";"Publication Month";"Application Date";"Application Month";"Priority Date";"Priority Month";"Priority Year(s)";"Related Applications";"IPC - Current - DWPI";"IPC Class - DWPI";"IPC Class Group - DWPI";"IPC Section - DWPI";"IPC Subclass - DWPI";"IPC Subgroup - DWPI";"CPC - Current - DWPI";"CPC - Current Primary - DWPI";"CPC - Original Primary - DWPI";"CPC Class - DWPI";"DWPI Manual Codes";"Cited Refs - Patent";"Count of Cited Refs - Patent";"Count of Cited Refs - Non-patent";"Citing Patents";"Count of Citing Patents";"Designated States";"Language of Publication";"DWPI Family Members Dead/Alive";"INPADOC Family ID";"Item Number";"Strategic Importance";"Probability of Grant";"Domain Influence";"Combined Patent Impact";"Probability of Early Lapse"
"US9572292B2";2017;2012;2015;"T01 E |  T04 E |  V04 E";"PAYPAL INC.,San Jose,CA,US";"Wilczynski Matthew,Austin,TX,US";"WILCZYNSKI M";1;"US";"B2";2017-02-14;"4937 Days , (13 Years, 6 Months)";"Alive";"02";2015-09-14;"09";"2012-11-29";"11 | 11 | 09";"2012 | 2015";"US14853938A,2015-09-14 | US13689432A,2012-11-29";"G06K0019073 | G06K0019077 | G07C000900 | H05K000502 | H05K000900";"G06, G07, H05";"G06K0019, G07C0009, H05K0005, H05K0009";"G, H";"G06K, G07C, H05K";"G06K0019073, G06K0019077, G07C000900, H05K000502, H05K000900";"H05K0009002 | G06K001907327 | G06K001907707 | G07C000928 | G07C000929 | H05K00050221 | G07C200900976";"H05K0009002";"H05K0009002";"H05, G06, G07";"T01-J08A | T04-K02 | V04-U02 | V04-U03";"US6121544A | US6845863B1 | US20070289775A1 | US20100230309A1 | US20100271187A1 | US20110062242A1 | US20030132132A1 | US8004414B2 | US20060044109A1 | US20120156992A1 | US20140118116A1 | US4647714A | US20070164866A1 | US20080000987A1 | US20080055046A1 | US20100014270A1 | US20130000801A1 | US9125465B2 | US20080265039A1 | US20120309307A1 | US20050183579A1 | US20070115127A1 | US20130271265A1 | US20130307687A1 | US20120228168A1 | US9135548B2 | US7830672B1 | US20040148837A1 | US20080190526A1 | US20100231353A1 | US20130037615A1 | US7911355B2 | US7604176B2 | US8419889B2 | US8841987B1 | US20040100359A1 | US20070157494A1 | US20080083829A1 | US20080279959A1 | US6155410A | US20060027593A1 | US20060124747A1";42;0;NA;0;NA;"EN";"US20160007508A1 Alive | US9572292B2 Alive";"20140529US20140146510A1";1;277;"100.0";762;693;401
"US9642173B2";2017;2014;2015;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Granbery John Hastings,Los Altos,CA,US";"GRANBERY J H";1;"US";"B2";2017-05-02;"5546 Days , (15 Years, 2 Months)";"Alive";"05";2015-07-08;"07";"2014-07-15";"07 | 07 | 07";"2014 | 2015";"US62024878P,2014-07-15 | US14794086A,2015-07-08";"H04M001700 | H04W000400 | H04W004024 | H04W007602";"H04";"H04M0017, H04W0004, H04W0040, H04W0076";"H";"H04M, H04W";"H04M001700, H04W000400, H04W004024, H04W007602";"H04W007611 | H04M0017305 | H04W000480 | H04W0008005 | H04W0040244";"H04W007611";"H04W0076021";"H04";"T01-J08A | T01-S03 | W01-A06C4";"US20160019540A1 | US20160232515A1 | US8514758B2 | US20150310417A1 | US20150356563A1 | US20090327135A1 | US20100063867A1 | US20140149293A1 | US20150356668A1 | US20160277999A1 | US8972296B2 | US20150072618A1 | US20150199672A1 | US20080065892A1 | US20160242143A1 | USD717309S1 | US20140059067A1 | US20150248702A1 | US20130019018A1 | US20150073980A1 | US20150332240A1 | US20140188733A1";22;0;"US10009729B2 | US10136250B2 | US10142786B2 | US10244348B2 | US10523685B1 | US10524083B2 | US10616709B2 | US9826351B2 | US9826356B2 | US9866996B1 | US9867009B2 | US9872146B2 | US9930486B2 | US9936345B1 | US9942706B2 | US9955297B2 | US9998863B2";17;NA;"EN";"US20160021687A1 Alive | US9642173B2 Alive";"20160121US20160021687A1";2;63;"100.0";3228;2848;221
"US10237783B1";2019;2017;2017;"T01 E |  W01 E |  W02 E";"PayPal Inc.,San Jose,CA,US";"Sarin Pankaj,Elkhom,NE,US";"SARIN P";1;"US";"B1";2019-03-19;"6338 Days , (17 Years, 4 Months)";"Alive";"03";2017-09-07;"09";"2017-09-07";"09 | 09";"2017";NA;"H04W002404 | H04W002806 | H04W000400 | H04W000418 | H04W007200";"H04";"H04W0024, H04W0028, H04W0004, H04W0072";"H";"H04W";"H04W002404, H04W002806, H04W000400, H04W000418, H04W007200";"H04W002806 | H04W000400 | H04W000418 | H04W002404";"H04W002806";"H04W002806";"H04";"T01-F05G | T01-S03 | W01-A06C4 | W01-A06E | W01-C01D3C | W01-C01G8S | W02-C03G1";"US20080239976A1 | US20030026291A1 | US20090089418A1 | US6975868B2 | US9851965B2 | US9319954B2 | US20170311291A1";7;0;NA;0;NA;"EN";"US20190075488A1 Alive | US10237783B1 Alive | WO2019051323A1 Alive";"20190307US20190075488A1";3;277;"100.0";284;287;305
"WO2019051323A1";2019;2017;2018;"T01 E |  W01 E |  W02 E";"PAYPAL INC.,US";"SARIN Pankaj,US";"SARIN P";1;"WO";"A1";2019-03-14;NA;"Alive";"03";2018-09-07;"09";"2017-09-07";"09 | 09";"2017";"US15698058A,2017-09-07";"H04W002404 | H04W002806 | H04W000400 | H04W000418 | H04W007200";"H04";"H04W0024, H04W0028, H04W0004, H04W0072";"H";"H04W";"H04W002404, H04W002806, H04W000400, H04W000418, H04W007200";"H04W002806 | H04W000400 | H04W000418 | H04W002404";"H04W002806";"H04W002806";"H04";"T01-F05G | T01-S03 | W01-A06C4 | W01-A06E | W01-C01D3C | W01-C01G8S | W02-C03G1";"US20170311291A1 | US6975868B2";2;0;NA;0;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DJ;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IR;IS;JO;JP;KE;KG;KH;KN;KP;KR;KW;KZ;LA;LC;LK;LR;LS;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SA;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;KM;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;ST;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20190075488A1 Alive | US10237783B1 Alive | WO2019051323A1 Alive";"20190307US20190075488A1";31;10;"65.73";21;194;NA
"US9621213B2";2017;2015;2015;"T04 E |  W01 E |  W02 E";"PAYPAL INC.,San Jose,CA,US";"Pahuja Anupam,San Jose,CA,US";"PAHUJA A";1;"US";"B2";2017-04-11;"5714 Days , (15 Years, 7 Months)";"Alive";"04";2015-12-23;"12";"2015-03-31";"03 | 03 | 12";"2015";"US62140707P,2015-03-31 | US14757705A,2015-12-23";"G06K0019073 | G06K0019077 | G06K000701 | H04B00013883 | H04L001226 | H04W005202";"G06, H04";"G06K0019, G06K0007, H04B0001, H04L0012, H04W0052";"G, H";"G06K, H04B, H04L, H04W";"G06K0019073, G06K0019077, G06K000701, H04B00013883, H04L001226, H04W005202";"H04B00013883 | H04L004316 | H04W00520261 | H04W00520267 | Y02D007000 | Y02D0070142 | Y02D0070166 | Y02D007040";"H04B00013883";"H04B00013883";"H04, Y02";"T04-K01A | T04-K03A | T04-L02 | W01-A06C4 | W02-C03C1C | W02-C03E3";"US20090240625A1 | US20080054721A1 | US8035354B2 | US5978236A | US7439704B2 | US20160004945A1 | US20040068656A1 | US20130334881A1 | US20140346236A1 | US20150058213A1 | US6943529B2";11;3;"US10103767B2 | US20170222679A1";2;NA;"EN";"US20160294426A1 Alive | WO2016161031A1 Dead | US9621213B2 Alive";"20161006US20160294426A1";4;63;"100.0";358;412;410
"WO2016161031A1";2016;2015;2016;"T04 E |  W01 E |  W02 E";"PAYPAL INC.,US";"PAHUJA Anupam,US";"PAHUJA A";1;"WO";"A1";2016-10-06;NA;"Dead";"10";2016-03-30;"03";"2015-03-31 | 2015-12-23";"03 | 12 | 03 | 12";"2015";"US14757705A,2015-12-23";"G06K0019073 | G06K0019077 | G06K000701 | H04B00013883 | H04L001226 | H04W005202";"G06, H04";"G06K0019, G06K0007, H04B0001, H04L0012, H04W0052";"G, H";"G06K, H04B, H04L, H04W";"G06K0019073, G06K0019077, G06K000701, H04B00013883, H04L001226, H04W005202";"H04B00013883 | H04L004316 | H04W00520261 | H04W00520267 | Y02D007000 | Y02D0070142 | Y02D0070166 | Y02D007040";"H04B00013883";"H04B00013883";"H04, Y02";"T04-K01A | T04-K03A | T04-L02 | W01-A06C4 | W02-C03C1C | W02-C03E3";"US20080054721A1 | US20090240625A1 | US20150058213A1 | US20040068656A1 | US20160004945A1 | US20140346236A1";6;0;"US10176414B1 | US10579917B1";2;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IR;IS;JP;KE;KG;KN;KP;KR;KZ;LA;LC;LK;LR;LS;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SA;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;KM;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;ST;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20160294426A1 Alive | WO2016161031A1 Dead | US9621213B2 Alive";"20161006US20160294426A1";41;10;"0.73";358;319;NA
"US10499338B2";2019;2015;2018;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Chatterton Geoffrey W.,Santa Clara,CA,US | Govindarajan Satish Narayan,Los Altos,CA,US | Krishnaiah Akshay Sanjeevaiah,San Jose,CA,US | Senguttuvan Guhan,San Jose,CA,US | Babu Gunabalan,San Jose,CA,US | Rivas Carlos,Redwood City,CA,US";"BABU G | CHATTERTON G W | GOVINDARAJAN S N | KRISHNAIAH A S | RIVAS C | SENGUTTUVAN G";6;"US";"B2";2019-12-03;"5880 Days , (16 Years, 1 Months)";"Alive";"12";2018-06-26;"06";"2015-11-18 | 2016-06-06";"11 | 06 | 11 | 06 | 06";"2015 | 2016 | 2018";"US16019213A,2018-06-26 | US62257209P,2015-11-18 | US15174536A,2016-06-06";"H04M0001725 | H04W005202 | H04W000822 | H04W000800";"H04";"H04M0001, H04W0052, H04W0008";"H";"H04M, H04W";"H04M0001725, H04W005202, H04W000822, H04W000800";"H04W00520254 | H04M000172519 | H04W000822 | H04W00520225 | H04M225012 | H04W0008005 | Y02D007000 | Y02D00701242 | Y02D00701262 | Y02D0070142 | Y02D0070144 | Y02D0070146 | Y02D0070164 | Y02D0070166 | Y02D007026";"H04W00520254";"H04W00520254";"H04, Y02";"T01-N02A3C | W01-C01Q7";"US20140148131A1 | US10009847B2 | US20110171909A1 | US20160140404A1 | US20150249908A1 | US20180260029A1 | US20140341069A1 | US20160117660A1";8;0;NA;0;NA;"EN";"US20190007907A1 Alive | US10499338B2 Alive";"20170518US20170142660A1";5;277;"100.0";321;319;290
"US10103767B2";2018;2015;2017;"T01 E |  W01 E |  W02 E";"PAYPAL INC.,San Jose,CA,US";"Pahuja Anupam,San Jose,CA,US";"PAHUJA A";1;"US";"B2";2018-10-16;"5714 Days , (15 Years, 7 Months)";"Alive";"10";2017-04-11;"04";"2015-03-31 | 2015-12-23";"03 | 12 | 03 | 12 | 04";"2015 | 2017";"US15485123A,2017-04-11 | US62140707P,2015-03-31 | US14757705A,2015-12-23";"H04B00013883 | H04L001226 | H04W005202";"H04";"H04B0001, H04L0012, H04W0052";"H";"H04B, H04L, H04W";"H04B00013883, H04L001226, H04W005202";"H04B00013883 | H04L004316 | H04W00520261 | H04W00520267 | Y02D007000 | Y02D0070142 | Y02D0070166 | Y02D007040";"H04B00013883";"H04B00013883";"H04, Y02";"T01-N01A2C | T01-N01A2F | T01-N01A4 | T01-N01D | T01-N02A3C | T01-S03 | W01-A06C4 | W02-C03C1C | W02-C03E3";"US5978236A | US20090240625A1 | US20150058213A1 | US20040068656A1 | US20130334881A1 | US8035354B2 | US20130164567A1 | US6943529B2 | US7439704B2 | US20140346236A1 | US9621213B2 | US20080054721A1 | US20160004945A1";13;3;NA;0;NA;"EN";"US20170222679A1 Alive | US10103767B2 Alive";"20161006US20160294426A1";6;277;"100.0";358;35;280
"US10009847B2";2018;2015;2016;"T01 E |  W01 E |  W02 E";"PayPal Inc.,San Jose,CA,US";"Chatterton Geoffrey W.,Santa Clara,CA,US | Govindarajan Satish Narayan,Los Altos,CA,US | Krishnaiah Akshay Sanjeevaiah,San Jose,CA,US | Senguttuvan Guhan,San Jose,CA,US | Babu Gunabalan,San Jose,CA,US | Rivas Carlos Manuel,Redwood City,CA,US";"BABU G | CHATTERTON G W | GOVINDARAJAN S N | KRISHNAIAH A S | RIVAS C M | SENGUTTUVAN G";6;"US";"B2";2018-06-26;"5880 Days , (16 Years, 1 Months)";"Alive";"06";2016-06-06;"06";"2015-11-18";"11 | 11 | 06";"2015 | 2016";"US62257209P,2015-11-18 | US15174536A,2016-06-06";"H04W005202 | H04W000822";"H04";"H04W0052, H04W0008";"H";"H04W";"H04W005202, H04W000822";"H04W00520254 | H04M000172519 | H04W000822 | H04W00520225 | H04M225012 | H04W0008005 | Y02D007000 | Y02D00701242 | Y02D00701262 | Y02D0070142 | Y02D0070144 | Y02D0070146 | Y02D0070164 | Y02D0070166 | Y02D007026";"H04W00520254";"H04W00520254";"H04, Y02";"T01-M06S | T01-N02A3C | T01-S03 | W01-A06C4 | W01-C01D3C | W01-C01G8S | W02-C03C1C | W02-C03E3";"US20090323609A1 | US20140341069A1 | US20140365803A1 | US20130308512A1 | US20070268874A1 | US20110171909A1 | US20130110658A1 | US20130065556A1 | US20140038674A1 | US20050164633A1 | US20160105868A1";11;0;"US10499338B2";1;NA;"EN";"US20170142660A1 Alive | US10009847B2 Alive";"20170518US20170142660A1";7;63;"100.0";394;444;206
"US9974000B2";2018;2014;2017;"T01 E |  W01 E";"PayPal Inc.,San Jose,CA,US";"Todasco Michael Charles,Santa Clara,CA,US | Williams Megan Marie,San Jose,CA,US | Hwang Michael,San Francisco,CA,US | Serrano Michelle,San Jose,CA,US";"HWANG M | SERRANO M | TODASCO M C | WILLIAMS M M";4;"US";"B2";2018-05-15;"5313 Days , (14 Years, 6 Months)";"Alive";"05";2017-02-27;"02";"2014-11-17";"11 | 11 | 02";"2014 | 2017";"US15444064A,2017-02-27 | US14543440A,2014-11-17";"H04W000400 | H04W004024 | H04W007602 | H04W008802";"H04";"H04W0004, H04W0040, H04W0076, H04W0088";"H";"H04W";"H04W000400, H04W004024, H04W007602, H04W008802";"H04W0040244 | H04W000480 | H04W004800 | H04W007611 | H04W004020 | H04W008802 | Y02D007000 | Y02D00701262 | Y02D0070142 | Y02D0070144 | Y02D0070164 | Y02D0070166 | Y02D007026 | Y02D007038";"H04W0040244";"H04W0040244";"H04, Y02";"T01-C03C | T01-J07D3 | T01-S03 | W01-A06C4";"US20020077122A1 | US20110222421A1 | US20020049054A1 | US20150269638A1 | US20130143499A1 | US20150134374A1 | US20050096013A1 | US20140210650A1";8;0;NA;0;NA;"EN";"US20170303184A1 Alive | US9974000B2 Alive";"20160519US20160142964A1";8;454;"100.0";431;444;237
"US9585079B2";2017;2014;2014;"W01 E |  X23 E";"PAYPAL INC.,San Jose,CA,US";"Todasco Michael Charles,Santa Clara,CA,US | Williams Megan Marie,San Jose,CA,US | Hwang Michael,San Francisco,CA,US | Serrano Michelle,San Jose,CA,US";"HWANG M | SERRANO M | TODASCO M C | WILLIAMS M M";4;"US";"B2";2017-02-28;"5313 Days , (14 Years, 6 Months)";"Alive";"02";2014-11-17;"11";"2014-11-17";"11 | 11";"2014";"US14543440A,2014-11-17";"H04W000400 | H04W004024 | H04W007602 | H04W008802";"H04";"H04W0004, H04W0040, H04W0076, H04W0088";"H";"H04W";"H04W000400, H04W004024, H04W007602, H04W008802";"H04W0040244 | H04W000480 | H04W004800 | H04W007611 | H04W004020 | H04W008802 | Y02D007000 | Y02D00701262 | Y02D0070142 | Y02D0070144 | Y02D0070164 | Y02D0070166 | Y02D007026 | Y02D007038";"H04W0040244";"H04W0040244";"H04, Y02";"W01-A06C4 | W01-C01D3C | W01-C01G8S | X23-P06";"US20130143499A1 | US20110222421A1 | US20140210650A1 | US20150269638A1 | US20050096013A1 | US20150134374A1 | US20020049054A1 | US20020077122A1";8;0;"US10327108B1 | US9949091B1";2;NA;"EN";"US20160142964A1 Alive | US9585079B2 Alive";"20160519US20160142964A1";9;807;"100.0";983;974;310
