"titledwpi"
"Apparatus for protecting e.g. credit card through personal computing device, has electrically conductive sheath for surrounding electronic device in first position, where sheath surrounds portion of electronic device in second position"
"User device e.g. client computing device, has processors that recreates custom token based on stored generic token and received token differences and performs action using custom token"
"System for caching data, has hardware processors for detecting that available amount of resource on computing device meets or exceeds threshold level in response to detecting at first time period subsequent to second time period"
"System for caching data, has hardware processors for detecting that available amount of resource on computing device meets or exceeds threshold level in response to detecting at first time period subsequent to second time period"
"Smart card system, has processor for directing charging device to divert input voltage from interface device to battery device based on detected status of input signal, where battery device charges from diverted input voltage"
"Smart card system, has processor for directing charging device to divert input voltage from interface device to battery device based on detected status of input signal, where battery device charges from diverted input voltage"
"Mobile computing system e.g. laptop computer, has mobile computing system providing scanning power to cause transceiver of mobile computing system to scan environment for multiple signals of interest, and identifying signals of interest"
"Portable transaction device for performing transaction of products, has logic for diverting portion of supplied power received from particular interface contact to battery while different portion of power is provided to processor"
"Mobile computing system e.g. smartphone device, has processor to provide scanning power to cause transceiver of mobile computing system to scan environment for one or more signals of interest based on scan and rest intervals"
"System for managing transportation service terminals to place wireless beacon devices near bus stop, has reception of first device identifier detecting by second beacon device and performs check-in of device with first service and terminal"
"System for placing wireless beacon devices nearby or at e.g. bus stops, for informing transportation services for people, has hardware processors configured for communicating communication to device associated with transportation service"
"Application provisioning system for making online and mobile payments through user devices, has hardware processors that are coupled to memory and adapted to read instructions from memory to perform provision of application for display"
"Application provisioning system for making online and mobile payments through user devices, has hardware processors that are coupled to memory and adapted to read instructions from memory to perform provision of application for display"
"Method for effectuating passive check-in with respect to mobile device e.g. mobile phone, of user, involves generating recommendation for user of mobile device in response to crossing of geo-fence event"
"Method for effectuating passive check-in with respect to mobile device e.g. mobile phone, of user, involves generating recommendation for user of mobile device in response to crossing of geo-fence event"
"Method for effectuating passive check-in with respect to mobile device e.g. mobile phone, of user, involves generating recommendation for user of mobile device in response to crossing of geo-fence event"
"System for social networking connections through short range wireless devices, has processor for generating contact recommendation for user using social networking information, contact recommendation comprises social networking connection"
"System for determining social networking connections through short range wireless devices for e.g. online payments, has communication module for receiving connection information from communication device"
"System for determining social networking connections through short range wireless devices for e.g. online payments, has communication module for receiving connection information from communication device"
"Method for effectuating passive check-in in conjunction with on-line services and on-line marketplaces, involves generating recommendation for user based on tracking of user behavior while user is within geo-fence"
"Systems for generating location-aware group recommendations, has processor merging place graphs to generate merged place graph, and generating location aware recommendation based on merged place graph and geographical location"
"Method for delivering location-aware group recommendation to user of e.g. smartphone, based on product purchase history of users, involves generating predictive common recommendation by traversing place graph"
"Computer-implemented method for defining geofence using mobile device, involves generating, on mobile device and in response to obtaining first datum, geofence based on first datum"
"Computer-implemented method for determining and tracking location of user of mobile device, involves altering state of application on mobile device, where application is stored in memory on device and executable on device"
"System for generating location-based group recommendations, has processor causing system to generate common recommendation based on user profile data and information on third party sources accessed"
"System for checking user into brick and mortar storefront of merchant using sequence of packets, has processors prompting user to check in with merchant in response to determining that first time interval matches second time interval"
"Method to effectuate passive check-in with respect to user mobile device, involves determining special locations information based on location stream and event data representing boundary crossing"
"System for generating location-aware group recommendations, has processor that cause system to generate common recommendation based on user profile data and information on third party sources accessed"
"Method for providing geofencing through location-based information on cellular phone, involves displaying notification on mobile device of first user in response to detecting that user that is within threshold distance satisfies preferences"
"System for estimating wait time of customers at lines or queues in public venues using personal computing device, has multiple processors for determining position of user in line and wait time at line location based on user position in line"
"System for estimating wait time of customers at lines or queues in public venues using personal computing device, has multiple processors for determining position of user in line and wait time at line location based on user position in line"
"System for estimating wait time of customers at lines or queues in public venues using personal computing device, has multiple processors for determining position of user in line and wait time at line location based on user position in line"
"System for checking user into location by using specific sequence of packets, has hardware processors configured to determine location based on intervals, and check user into location in response to determining location based on intervals"
"Mobile system for authenticating user over computer network to provide sensitive information to identity provider through quick response code, has processor for transmitting information to merchant network associated with merchant device"
"System for implementing authentication through Bluetooth device e.g. smart phone, has processor that automatically authenticates user on user device without requiring entry of credentials by user"
"System for detecting agents and operating systems by utilizing transport layer security fingerprints, has computing device for determining predicted agent based on comparing security fingerprint to model including historical information"
"System for determining agents and operating systems comprises a first computing device configured to perform first operations including extracting a first transport layer security fingerprint from a received first information"
"Providing method for secure Short Message Service (SMS) communications involves sending encrypted SMS data to remote location by secure SMS application via regular SMS channel of client device"
"Providing method for secure Short Message Service (SMS) communications involves sending encrypted SMS data to remote location by secure SMS application via regular SMS channel of client device"
"Providing method for secure Short Message Service (SMS) communications involves sending encrypted SMS data to remote location by secure SMS application via regular SMS channel of client device"
"Providing method for secure Short Message Service (SMS) communications involves sending encrypted SMS data to remote location by secure SMS application via regular SMS channel of client device"
"Providing method for secure Short Message Service (SMS) communications involves sending encrypted SMS data to remote location by secure SMS application via regular SMS channel of client device"
"Providing method for secure Short Message Service (SMS) communications involves sending encrypted SMS data to remote location by secure SMS application via regular SMS channel of client device"
"Mobile device i.e. cell phone, for managing transfer of mobile device phone account functionality to another cell phone, has mobile device application for sending switch request to make mobile phone line inactive for mobile device"
"System for managing transfer of mobile device phone account functionality between cell phones, nomination module that updates user account to make mobile phone line inactive for first mobile device and active for second mobile device"
"System for remote monitoring of tagged physical objects in emergency, has processor to determine location of physical object based on at least distance between tag device associated with physical object and at least one beacon"
"System for remote monitoring of tagged physical objects in emergency, has processor to determine location of physical object based on at least distance between tag device associated with physical object and at least one beacon"
"Secure data transfer system for managing concurrent secure elements (SEs) on mobile device, has virtual secure element configured to retrieve and transfer secure data to reader device in response to being activated"
"Transaction system for managing concurrent secure elements on e.g. smartphone, to coordinate with application running on device, has processors for performing transaction with payee device in part by using secure element to perform action"
"Mobile system, has set of hardware processors configured to read instructions from memory to cause system to perform operations comprising installing new-application on system based on determined configuration of new-application"
"System for vehicle use and performance restrictions based on detected users, has user detection module that detects first user in vehicle, when first user utilizes vehicle and determines first identification for first user"
"System for vehicle use and performance restrictions based on detected users, has user detection module that detects first user in vehicle, when first user utilizes vehicle and determines first identification for first user"
"System for vehicle use and performance restrictions based on detected users, has user detection module that detects first user in vehicle, when first user utilizes vehicle and determines first identification for first user"
"System for vehicle use and performance restrictions based on detected users, has user detection module that detects first user in vehicle, when first user utilizes vehicle and determines first identification for first user"
"System for creating user account using feature phone over communications network, has hardware processors for creating user account using user account information, user financial information and personal identification number"
"Method for using location-based services for service management, involves providing user experience to access first service of first tenant through user interface (UI) to user device and based on location data"
"Method for using location-based services for service management, involves providing user experience to access first service of first tenant through user interface (UI) to user device and based on location data"
"Smart phone system for transferring data in communication network, has processor component for transferring amount of funds from account associated with transferor device to account associated with transferee device"
"System for transferring data to areas over networks through mobile device, has hardware processors for processing request through website based on determining first and second locations that are within threshold distance during time period"
